"year","authors","journal","title","type","pdf?","keywords","keywords_online?","notes"
"2018","Jacobson, Hough","The Political Quarterly","Missed Opportunities and New Risks: Penal Policy in England and Wales in the Past Twenty-Five Years","article","y","y","",""
"2018","Richardson","The Political Quarterly","Brexit: The EU Policy-Making State Hits the Populist Buffers","article","y","y","",""
"2018","Sandbrook","The Political Quarterly","‘Enoch Powell Speaks for Britain’: The Press, the Public and the Speech","article","y","y","",""
"2019","Dennison, Geddes","The Political Quarterly","A Rising Tide? The Salience of Immigration and the Rise of Anti-Immigration Political Parties in Western Europe","article","y","y","",""
"2019","Edwards","The Political Quarterly","O, The Roast Beef of Old England! Brexit and Gastronationalism","article","y","y","",""
"2019","Kassimeris","The Political Quarterly","Greek Everyman: Andreas Papandreou at 100","article","y","y","",""
"2019","Nandy","The Political Quarterly","What the Age of Populism Means for Our Liberal Democracy","article","y","y","",""
"2020","Civil, Himsworth","The Political Quarterly","Introduction: Meritocracy in Perspective. The Rise of the Meritocracy 60 Years On","article","y","y","",""
"2020","Jäger","The Political Quarterly","Populists, Producers and the Politics of Rentiership","article","y","y","",""
"2020","Pitts","The Political Quarterly","The Multitude and the Machine: Productivism, Populism, Posthumanism","article","y","y","",""
"2020","Semple","The Political Quarterly","Welfare-Consequentialism: A Vaccine for Populism?","article","y","y","",""
"2020","Weisskircher","The Political Quarterly","The Strength of Far-Right AfD in Eastern Germany: The East-West Divide and the Multiple Causes behind ‘Populism’","article","y","y","",""
"2020","Zulianello, Ceccobelli","The Political Quarterly","Don’t Call it Climate Populism: On Greta Thunberg’s Technocratic Ecocentrism","article","y","y","",""
"2019","Berman","Polity","Populism is a Symptom Rather than a Cause: Democratic Disconnect, the Decline of the Center-Left, and the Rise of Populism in Western Europe","article","y","y","",""
"2019","Grant","Polity","Justifying Constituent Power in an Age of Populism","article","y","y","",""
"2019","Grzymala-Busse","Polity","Conclusion: The Global Forces of Populism","article","y","y","",""
"2019","Grzymala-Busse","Polity","How Populists Rule: The Consequences for Democratic Governance","article","y","y","",""
"2019","Grzymala-Busse","Polity","Introduciton","article","y","y","",""
"2019","Lynch","Polity","Populism, Partisan Convergence, and Mobilization in Western Europe","article","y","y","",""
"2019","McNamara","Polity","When the Banal Becomes Political: The European Union in the Age of Populism","article","y","y","",""
"2019","Vachudova","Polity","From Competition to Polarization in Central Europe: How Populists Change Party Systems and the European Union","article","y","y","",""
"2013","Zúquete","Politics, Religion & Ideology","On Top of the Volcano: Missionary Politics in the Twenty-first Century","article","y","y","",""
"2019","Shorten","Politics, Religion & Ideology","Why Bad Books Matter: Past and Future Directions for Understanding Reactionary Ideology","article","y","y","",""
"2020","Yabanci","Politics, Religion & Ideology","Fuzzy Borders between Populism and Sacralized Politics: Mission, Leader, Community and Performance in ‘New’ Turkey","article","y","y","",""
"2019","Martin","Politische Vierteljahresschrift","Electoral Participation and Right Wing Authoritarian Success – Evidence from the 2017 Federal Elections in Germany","article","y","y","",""
"2020","Kriesi","Politische Vierteljahresschrift","Is There a Crisis of Democracy in Europe?","article","y","y","",""
"2020","Schwander et al.","Politische Vierteljahresschrift","Fighting Fire with Fire? Inequality, Populism and Voter Turnout","article","y","y","",""
"2015","Bray","Historical Materialism Research in Critical Marxist Theory","Rearticulating Contemporary Populism","article","y","y","",""
"2015","Castagno","Historical Materialism Research in Critical Marxist Theory","Inside Latinamericanism","article","y","y","",""
"2016","Read","Historical Materialism Research in Critical Marxist Theory","Under Pressure","article","y","y","",""
"2017","Melkonian","Historical Materialism Research in Critical Marxist Theory","Paradoxes of Plain Thinking","article","y","y","",""
"2019","Sotiris","Historical Materialism Research in Critical Marxist Theory","Is a ‘Left Populism’ Possible?","article","y","y","",""
"2016","Moore","Critical Review","Conspiracy and Conspiracy Theories in Democratic Politics","article","y","y","",""
"2018","Jacobs","Critical Review","The Dislocated Universe of Laclau and Mouffe: An Introduction to Post-Structuralist Discourse Theory","article","y","y","",""
"2019","Appel","Critical Review","Can the EU Stop Eastern Europe's Illiberal Turn?","article","y","y","",""
"2019","Ochoa Espejo","Critical Review","The Border Wall as a Populist Challenge","article","y","y","",""
"2019","Barndt","Critical Review","Populism in America: Christopher Lasch, bell hooks, and the Persistence of Democratic Possibility","article","y","y","",""
"2019","Friedman","Critical Review","Populists as Technocrats","article","y","y","",""
"2019","Hay, Benoît","Critical Review","Brexit, Positional Populism, and the Declining Appeal of Valence Politics","article","y","y","",""
"2019","Muravchik, Shields","Critical Review","Trump: New Populist or Old Democrat?","article","y","y","",""
"2019","Wallace Goodman","Critical Review","Liberal Democracy, National Identity Boundaries, and Populist Entry Points","article","y","y","",""
"2019","Yack","Critical Review","Of Scribes and Tribes: Progressive Politics and the Populist Challenge","article","y","y","",""
"2020","Elliott","Critical Review","A Family Affair: Populism, Technocracy, and Political Epistemology","article","y","y","",""
"2011","DeCanio","Studies in American Political Development","Just Because You’re Paranoid Doesn’t Mean They Aren’t Out to Get You: Rejoinder to Bensel","article","y","y","",""
"2014","Rothstein","Studies in American Political Development","Macune’s Monopoly: Economic Law and the Legacy of Populism","article","y","y","",""
"2013","Schou Tjalve","International Politics","Realism, pragmatism and the public sphere: Restraining foreign policy in an age of mass politics","article","y","y","",""
"2017","Burgoon et al.","International Politics","Globalization, domestic politics, and transatlantic relations","article","y","y","",""
"2017","De Jonquières","International Politics","The world turned upside down: the decline of the rulesbased international system and the rise of authoritarian nationalism","article","y","y","",""
"2017","Morgan","International Politics","Taxing the powerful, the rise of populism and the crisis in Europe: the case for the EU Common Consolidated Corporate Tax Base","article","y","y","",""
"2020","Cadier, Szulecki","International Politics","Populism, historical discourse and foreign policy: the case of Poland’s Law and Justice government","article","y","y","",""
"2017","Brunnbauer, Haslinger","Nationalities Papers The Journal of Nationalism and Ethnicity","Political mobilization in East Central Europe","article","y","y","",""
"2019","Stroschein","Nationalities Papers The Journal of Nationalism and Ethnicity","Populism, Nationalism, and Party Politics","article","y","y","",""
"2017","Rhodes, Johnson","Presidential Studies Quarterly","Welcoming Their Hatred: Class Populism inDemocratic Rhetoric in American PresidentialCampaigns, 1932–2012","article","y","y","",""
"2019","Nai et al.","Presidential Studies Quarterly","Donald Trump, Populism, and the Age of Extremes: Comparing the Personality Traits and Campaigning Styles of Trump and Other Leaders Worldwide","article","y","y","",""
"2016","Brewer","Forum: A Journal of Applied Research in Contemporary Politics","Populism in American Politics","article","y","y","",""
"2016","Formisano","Forum: A Journal of Applied Research in Contemporary Politics","The Populist Tsunami of the Second Gilded Age","article","y","y","",""
"2016","Kenneth White","Forum: A Journal of Applied Research in Contemporary Politics","Donald Trump and the Scourge of Populism","article","y","y","",""
"2016","Lichtenstein","Forum: A Journal of Applied Research in Contemporary Politics","Twenty-First Century “Populism:” Not for the Unions and a Good Thing Too","article","y","y","",""
"2016","Lowndes","Forum: A Journal of Applied Research in Contemporary Politics","White Populism and the Transformation of the Silent Majority","article","y","y","",""
"2018","Serra","Journal of Theoretical Politics","The electoral strategies of a populist candidate: Does charisma discourage experience and encourage extremism?","article","y","y","",""
"2020","Dewi","Contemporary Southeast Asia","Motherhood Identity in the 2019 Indonesian Presidential Elections: Populism and Political Division in the National Women’s Movement","article","y","y","",""
"2013","D’Eramo","New Left Review","Populism and the New Oligarchy","article","y","n","",""
"2012","Braun","The Independent Review","The Values of Free Enterprise versus the New Populism in Latin America","article","y","y","",""
"2019","2019 - Cachanosky, Padilla","The Independent Review","Latin American Populism in the Twenty-First Century","article","y","y","",""
"2019","Smith","The Independent Review","Will Populism Kill Globalization","article","y","y","",""
"2019","Vaduchova","Current History","The EU’s Eastward Enlargement and the Illiberal Turn","article","y","y","",""
"2019","Jones","Current History","Why European Democracies Are Struggling","article","y","y","",""
"2018","Grzymala-Busse","Current History","Poland’s Path to Illiberalism","article","y","y","",""
"2017","Eichengreen","Current History","The Populist Turn in American Politics","article","y","y","",""
"2014","Mudde","Current History","The Far Right and the European Elections","article","y","y","",""
"2020","Cano","European History Quarterly","Printing the People","article","y","y","",""
"2015","Lindgren","Japanese Journal of Political Science","Developing Japanese Populism Research through Readings Of European Populist Radical Right Studies","article","y","y","",""
